# model=snpy_max_model
# h=72.00163002615162
# N = 324
# RMS = 0.24550529029797882
# WRMS = 0.21491565927148093
# NMAD = 0.16814900394672314
# STD = 0.24544615460812721
# STD(logH0) = 0.049150487235919395
# rchisquare = 9.610228193619061
# sigma_int = 0.21321
TNS_name          RA        Dec     PGC       galRA     galDec          bandpasses variant redlaw calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model          Tmax    e_Tmax  rchisquare        st      e_st       Jmax       Vmax       rmax    e_Jmax    e_Vmax    e_rmax        dist          h0  resid_DM
   19ope  346.718986 -37.850329  616700  346.718805 -37.849029               J-c-o     1D3    F19        None  36.824781  0.106373  0.060445  0.059566  0.000213  346.718986 -37.850329  0.013665    0.022         0.005               0.018  1.754       2.031             1.795  58724.891339  1.208683    2.301767  1.041226  0.105171  18.276145  18.111427  18.165761  0.105229  0.071705  0.092187   231.71611   77.066283 -0.246173
   19pdy   37.911464   9.747704 1369486     37.9115   9.747778               J-c-o      2D    F19        None  37.088077  0.290167  0.069032   0.06823  0.000002   37.911464   9.747704  0.095213    0.136         0.033               0.114   1.34       1.638              1.38  58722.927389  3.759142    1.782739  1.281044  0.188803  18.312523  18.424139  18.725393  0.284013  0.117165  0.137441  261.586549   78.195235 -0.291303
   19pff  251.457667  45.086311 2258590  251.453225  45.087661 J-asg-c-o-ztfg-ztfr     1D3    F19        None  37.096115   0.07802  0.059648  0.059639   0.00003  251.457667  45.086311  0.012899    0.936          0.93               0.936  0.634       0.643             0.635  58742.142593  0.392349    0.544009  1.045657  0.043926   18.40534  17.713692  18.020371  0.074044  0.057526  0.031458  262.556688    68.09748  0.024161
   19qeo  140.731292  54.028231 9005023   140.73143   54.02788     J-c-o-ztfg-ztfr     1D3    F19        None  36.349423  0.680785  0.056823  0.057346      <NA>  140.731292  54.028231  0.024076    0.769         0.732               0.769  0.802       0.828             0.802  58752.666516  0.476727    0.866819  1.247068  0.038392  17.852223  17.824926  17.656579  0.679108  0.106732  0.037557   186.15928    92.35016 -0.632635
   19sla  122.119901   1.473939 1196018   122.11996     1.4735     J-c-o-ztfg-ztfr     1D3    F19        None  36.604108  0.297205  0.062763  0.063616      <NA>  122.119901   1.473939  0.030026    0.721         0.702               0.716  0.833       0.846             0.837  58778.111787  0.504038    1.011366  0.822607  0.049239  18.272169  18.742574  18.475251  0.295825  0.097886  0.041833  209.325254   91.110427 -0.612572
   19vdg   95.883095  50.399962   18941    95.88442   50.40206 J-asg-c-o-ztfg-ztfr     1D3    F19        None  35.920258  0.062797  0.036065  0.036193   0.00037   95.883095  50.399962  0.147859    0.932         0.886               0.932  0.752       0.794             0.752  58818.767304  0.397839    0.694724  1.065619  0.037103  17.387627  17.043208  17.056817  0.060834  0.031931  0.026719  152.774731   71.022491 -0.029305
   19vjm   151.17075   4.816411   29226  151.170682   4.818198               J-c-o     1D3    F19        None   35.55934  0.067917  0.029841  0.031001  0.000153   151.17075   4.816411  0.019399      0.0           0.0                 0.0  2.715       8.188             2.824  58818.792408  0.432878    2.294095  0.880776  0.039596  17.019084  16.454418  16.549545   0.06509  0.052973  0.028222  129.380277   71.833664  -0.04338
   19vuh   51.676558 -23.498803  176183    51.67046  -23.49617 J-asg-c-o-ztfg-ztfr     1D3    F19        None   35.98255  0.091647  0.036294  0.035856  0.000114   51.676558 -23.498803  0.022629      0.0           0.0                 0.0  4.086       4.221             4.123  58831.283121   0.81717    2.794935  0.976826  0.114396  17.967695  19.062644  18.188912  0.061433  0.166598  0.070688   157.22077   68.371113   0.05267
   19weu  351.138292   5.110931 9005025  351.137902   5.112521 J-asg-c-o-ztfg-ztfr     1D3    F19        None  35.665274  0.081514  0.032476  0.031241      <NA>  351.138292   5.110931  0.055263      0.0           0.0                 0.0  2.722       2.923             2.726  58840.060867  0.497757    1.951802  1.229088   0.04922  17.331789  17.658602  17.211008  0.061396  0.064358   0.03121  135.848476   68.943743  0.040352
   19wfc  159.062083  52.947419 2427824  159.061037  52.947089               J-c-o     1D3    F19        None  36.579277  0.082301  0.046539  0.047152   0.00002  159.062083  52.947419  0.020776    0.176           0.0               0.171  1.362       9.941             1.371  58835.099421  1.307322    1.180821  1.189108  0.136447  18.021074  18.454719  18.438901    0.0767   0.30451  0.062574  206.945179   68.307222  0.038702
